Substance,CAS,URL Link,Uses
Nimodipine,66085-59-4,https://pubchem.ncbi.nlm.nih.gov/compound/66085-59-4,Human drug
Niridazole,61-57-4,https://pubchem.ncbi.nlm.nih.gov/compound/61-57-4,
"Nitrapyrin [Basis for listing changed effective on November 4, 2015]",,,
Nitrapyrin,1929-82-4,https://pubchem.ncbi.nlm.nih.gov/compound/1929-82-4,Nitrogen stabilizer
Nitrilotriacetic acid,139-13-9,https://pubchem.ncbi.nlm.nih.gov/compound/139-13-9,
"Nitrilotriacetic acid, trisodium salt monohydrate",,,
5-Nitroacenaphthene,602-87-9,https://pubchem.ncbi.nlm.nih.gov/compound/602-87-9,
o-Nitroanisole,91-23-6,https://pubchem.ncbi.nlm.nih.gov/compound/91-23-6,
Nitrobenzene,98-95-3,https://pubchem.ncbi.nlm.nih.gov/compound/98-95-3,"Volatile organic compounds, The majority of nitrobenzene is used to manufacture aniline, which is a chemical used in the manufacture of polyurethane. Nitrobenzene is also used to produce lubricating oils and in the manufacture of dyes, drugs, pesticides, and synthetic rubber."
Nitrobenzene,98-95-3,https://pubchem.ncbi.nlm.nih.gov/compound/98-95-3,"Volatile organic compounds, The majority of nitrobenzene is used to manufacture aniline, which is a chemical used in the manufacture of polyurethane. Nitrobenzene is also used to produce lubricating oils and in the manufacture of dyes, drugs, pesticides, and synthetic rubber."
4-Nitrobiphenyl,92-93-3,https://pubchem.ncbi.nlm.nih.gov/compound/92-93-3,"4-Nitrobiphenyl is no longer manufactured, imported, used, or sold in the United States."
6-Nitrochrysene,2/8/96,https://pubchem.ncbi.nlm.nih.gov/compound/7496-02-8,
Nitrofen (technical grade),,,
2-Nitrofluorene,607-57-8,https://pubchem.ncbi.nlm.nih.gov/compound/607-57-8,
Nitrofurantoin,67-20-9,https://pubchem.ncbi.nlm.nih.gov/compound/67-20-9,
Nitrofurazone,59-87-0,https://pubchem.ncbi.nlm.nih.gov/compound/59-87-0,
1-[(5-Nitrofurfurylidene)-amino]-2-imidazolidinone,,,
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,,,
Nitrogen mustard (Mechlorethamine),,,
Nitrogen mustard (Mechlorethamine),,,
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),,,
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),,,
Nitrogen mustard N-oxide,,,
Nitrogen mustard N-oxide hydrochloride,,,
Nitromethane,75-52-5,https://pubchem.ncbi.nlm.nih.gov/compound/75-52-5,"Agricultural chemicals (non-pesticidal), Fuels and fuel additives, Fuels and Related Products"
2-Nitropropane,79-46-9,https://pubchem.ncbi.nlm.nih.gov/compound/79-46-9,"2-Nitropropane is primarily used as a solvent for organic compounds, coatings, inks, dyes, adhesives, and vinyl resins. It improves drying time, insures more complete solvent release, provides better flow characteristics, and insures greater pigment dispersion., 2-Nitropropane has a minor use as an additive in explosives, propellants, and fuels (in racing cars). It also has limited use as a paint and varnish remover., 2-Nitropropane serves as an intermediate in the synthesis of some pharmaceuticals, dyes, insecticides, and textile chemicals."
1-Nitropyrene,5522-43-0,https://pubchem.ncbi.nlm.nih.gov/compound/5522-43-0,
4-Nitropyrene,57835-92-4,https://pubchem.ncbi.nlm.nih.gov/compound/57835-92-4,
N-Nitrosodi-n-butylamine,924-16-3,https://pubchem.ncbi.nlm.nih.gov/compound/924-16-3,
N-Nitrosodiethanolamine,,,
N-Nitrosodiethylamine,55-18-5,https://pubchem.ncbi.nlm.nih.gov/compound/55-18-5,
N-Nitrosodimethylamine,62-75-9,https://pubchem.ncbi.nlm.nih.gov/compound/62-75-9,"N-Nitrosodimethylamine is primarily used as a research chemical., N-Nitrosodimethylamine has been used as an antioxidant, as an additive for lubricants, and as a softener of copolymers., N-Nitrosodimethylamine was formerly used in the production of rocket fuels."
p-Nitrosodiphenylamine,156-10-5,https://pubchem.ncbi.nlm.nih.gov/compound/156-10-5,
N-Nitrosodiphenylamine,86-30-6,https://pubchem.ncbi.nlm.nih.gov/compound/86-30-6,
N-Nitrosodi-n-propylamine,621-64-7,https://pubchem.ncbi.nlm.nih.gov/compound/621-64-7,
N-Nitroso-N-ethylurea,759-73-9,https://pubchem.ncbi.nlm.nih.gov/compound/759-73-9,
3-(N-Nitrosomethylamino) propionitrile,,,
4-(N-Nitrosomethylamino)-1-(3-pyridyl)1-butanone,,,
N-Nitrosomethyl-n-butylamine,7068-83-9,https://pubchem.ncbi.nlm.nih.gov/compound/7068-83-9,
N-Nitrosomethyl-n-decylamine,,,
N-Nitrosomethyl-n-dodecylamine,,,
N-Nitrosomethylethylamine,10595-95-6,https://pubchem.ncbi.nlm.nih.gov/compound/10595-95-6,
N-Nitrosomethyl-n-heptylamine,,,
N-Nitrosomethyl-n-hexylamine,,,
N-Nitrosomethyl-n-nonylamine,,,
N-Nitrosomethyl-n-octylamine,,,
N-Nitrosomethyl-n-pentylamine,,,
N-Nitrosomethyl-n-propylamine,924-46-9,https://pubchem.ncbi.nlm.nih.gov/compound/924-46-9,
N-Nitrosomethyl-n-tetradecylamine,,,
N-Nitrosomethyl-n-undecylamine,,,
N-Nitroso-N-methylurea,684-93-5,https://pubchem.ncbi.nlm.nih.gov/compound/684-93-5,"N-Nitroso-n-methylurea was used in the past for the laboratory synthesis of diazomethane, but it has been largely replaced by other reagents., N-Nitroso-n-methylurea has been studied in mutagenicity and genetics studies and for use as a cancer chemotherapy agent (alone or in combination with cyclophosphamide)."
N-Nitroso-N-methylurethane,615-53-2,https://pubchem.ncbi.nlm.nih.gov/compound/615-53-2,
N-Nitrosomethylvinylamine,,,
N-Nitrosomorpholine,59-89-2,https://pubchem.ncbi.nlm.nih.gov/compound/59-89-2,N-Nitrosomorpholine is not used commercially in the United States.
N-Nitrosonornicotine,16543-55-8,https://pubchem.ncbi.nlm.nih.gov/compound/16543-55-8,
N-Nitrosopiperidine,100-75-4,https://pubchem.ncbi.nlm.nih.gov/compound/100-75-4,
N-Nitrosopyrrolidine,930-55-2,https://pubchem.ncbi.nlm.nih.gov/compound/930-55-2,
N-Nitrososarcosine,,,
o-Nitrotoluene,88-72-2,https://pubchem.ncbi.nlm.nih.gov/compound/88-72-2,
"Nitrous oxide [Basis for listing changed effective November 8, 2013]",,,
Norethisterone (Norethindrone),,,
Norethisterone (Norethindrone),,,
Norethisterone acetate (Norethindrone acetate),,,
Norethisterone (Norethindrone) /Ethinyl estradiol,,,
Norethisterone (Norethindrone) /Mestranol,,,
Norethynodrel,68-23-5,https://pubchem.ncbi.nlm.nih.gov/compound/68-23-5,
Norgestrel,6533-00-2,https://pubchem.ncbi.nlm.nih.gov/compound/6533-00-2,Human drug
,,,
Ochratoxin A,303-47-9,https://pubchem.ncbi.nlm.nih.gov/compound/303-47-9,
Oil Orange SS,,,
"Oral contraceptives, combined",,,
"Oral contraceptives, sequential",,,
Oryzalin,19044-88-3,https://pubchem.ncbi.nlm.nih.gov/compound/19044-88-3,
Oxadiazon,19666-30-9,https://pubchem.ncbi.nlm.nih.gov/compound/19666-30-9,
Oxadiazon,19666-30-9,https://pubchem.ncbi.nlm.nih.gov/compound/19666-30-9,
Oxazepam,604-75-1,https://pubchem.ncbi.nlm.nih.gov/compound/604-75-1,
Oxazepam,604-75-1,https://pubchem.ncbi.nlm.nih.gov/compound/604-75-1,
Oxydemeton methyl,,,
Oxymetholone,434-07-1,https://pubchem.ncbi.nlm.nih.gov/compound/434-07-1,
Oxymetholone,434-07-1,https://pubchem.ncbi.nlm.nih.gov/compound/434-07-1,
Oxytetracycline (internal use),,,
Oxytetracycline hydrochloride (internal use),,,
Oxythioquinox (Chinomethionat),,,
Oxythioquinox (Chinomethionat),,,
,,,
Paclitaxel,33069-62-4,https://pubchem.ncbi.nlm.nih.gov/compound/33069-62-4,Human drug
Palygorskite fibers (> 5mm in length),,,
Panfuran S,,,
Paramethadione,115-67-3,https://pubchem.ncbi.nlm.nih.gov/compound/115-67-3,
Parathion,56-38-2,https://pubchem.ncbi.nlm.nih.gov/compound/56-38-2,"Parathion is primarily used as an insecticide on fruit, cotton, wheat, vegetables, and nut crops."
Penicillamine,52-67-5,https://pubchem.ncbi.nlm.nih.gov/compound/52-67-5,
pentabromodiphenyl ether mixture [DE-71 (technical grade)],,,
Pentachlorophenol,87-86-5,https://pubchem.ncbi.nlm.nih.gov/compound/87-86-5,"Nitrosamines/ethers/alcohols, Pesticides (chemicals used for killing pests, such as rodents, insects, or plants), Phenols/phenoxy acids, Pentachlorophenol was once one of the most widely used biocides in the United States, but it is now a restricted use pesticide and is no longer available to the general public., The principal use for pentachlorophenol is as a wood preservative; it is also used for the formulation of fungicidal and insecticidal solutions and for incorporation into other pesticide products."
Pentachlorophenol and by-products of its synthesis (complex mixture),,,
Pentobarbital sodium,,,
Pentosan polysulfate sodium,,,
Pentostatin,53910-25-1,https://pubchem.ncbi.nlm.nih.gov/compound/53910-25-1,
Perfluorooctane sulfonate (PFOS),,,
Perfluorooctanoic acid (PFOA),,,
Pertuzumab,380610-27-5,https://pubchem.ncbi.nlm.nih.gov/compound/380610-27-5,
Phenacemide,63-98-9,https://pubchem.ncbi.nlm.nih.gov/compound/63-98-9,
Phenacetin,62-44-2,https://pubchem.ncbi.nlm.nih.gov/compound/62-44-2,
Phenazopyridine,94-78-0,https://pubchem.ncbi.nlm.nih.gov/compound/94-78-0,
Phenazopyridine hydrochloride,,,
Phenesterin,,,
Phenobarbital,50-06-6,https://pubchem.ncbi.nlm.nih.gov/compound/50-06-6,
Phenolphthalein,77-09-8,https://pubchem.ncbi.nlm.nih.gov/compound/77-09-8,
Phenoxybenzamine,59-96-1,https://pubchem.ncbi.nlm.nih.gov/compound/59-96-1,
Phenoxybenzamine hydrochloride,,,
Phenprocoumon,435-97-2,https://pubchem.ncbi.nlm.nih.gov/compound/435-97-2,
o-Phenylenediamine and its salts,,,
o-Phenylenediamine,95-54-5,https://pubchem.ncbi.nlm.nih.gov/compound/95-54-5,
o-Phenylenediamine dihydochloride,,,
Phenyl glycidyl ether,122-60-1,https://pubchem.ncbi.nlm.nih.gov/compound/122-60-1,Process regulators
Phenyl glycidyl ether,122-60-1,https://pubchem.ncbi.nlm.nih.gov/compound/122-60-1,Process regulators
Phenylhydrazine and its salts,,,
Phenylhydrazine,100-63-0,https://pubchem.ncbi.nlm.nih.gov/compound/100-63-0,
Phenylhydrazine hydrochloride,59-88-1,https://pubchem.ncbi.nlm.nih.gov/compound/59-88-1,
"o-Phenylphenate, sodium",,,
o-Phenylphenol,90-43-7,https://pubchem.ncbi.nlm.nih.gov/compound/90-43-7,
"Phenylphosphine [Basis for listing changed effective June 6, 2014]",,,
"PhiP(2-Amino-1-methyl-6-phenylimidazol[4,5-b]pyridine)",,,
Pimozide,2062-78-4,https://pubchem.ncbi.nlm.nih.gov/compound/2062-78-4,
Pioglitazone,111025-46-8,https://pubchem.ncbi.nlm.nih.gov/compound/111025-46-8,Human drug
Pipobroman,54-91-1,https://pubchem.ncbi.nlm.nih.gov/compound/54-91-1,
Pirimicarb,23103-98-2,https://pubchem.ncbi.nlm.nih.gov/compound/23103-98-2,
Plicamycin,18378-89-7,https://pubchem.ncbi.nlm.nih.gov/compound/18378-89-7,
Polybrominated biphenyls,,,
Polybrominated biphenyls,,,
Polychlorinated biphenyls,,,
Polychlorinated biphenyls,,,
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),,,
Polychlorinated dibenzo-p-dioxins,,,
Polychlorinated dibenzofurans,,,
Polygeenan,,,
Ponceau MX,,,
Ponceau 3R,9/8/64,https://pubchem.ncbi.nlm.nih.gov/compound/3564-09-8,
Potassium bromate,1/2/58,https://pubchem.ncbi.nlm.nih.gov/compound/7758-01-2,
Potassium dimethyldithiocarbamate,,,
Pravastatin sodium,,,
Prednisolone sodium phosphate,125-02-0,https://pubchem.ncbi.nlm.nih.gov/compound/125-02-0,Human drug
Primidone,125-33-7,https://pubchem.ncbi.nlm.nih.gov/compound/125-33-7,
Procarbazine,671-16-9,https://pubchem.ncbi.nlm.nih.gov/compound/671-16-9,
Procarbazine hydrochloride,,,
Procarbazine hydrochloride,,,
Procymidone,32809-16-8,https://pubchem.ncbi.nlm.nih.gov/compound/32809-16-8,
Progesterone,57-83-0,https://pubchem.ncbi.nlm.nih.gov/compound/57-83-0,Human drug
Pronamide,23950-58-5,https://pubchem.ncbi.nlm.nih.gov/compound/23950-58-5,
Propachlor,1918-16-7,https://pubchem.ncbi.nlm.nih.gov/compound/1918-16-7,
"1,3-Propane sultone",1120-71-4,https://pubchem.ncbi.nlm.nih.gov/compound/1120-71-4,"1,3-Propane sultone is used as a chemical intermediate to introduce sulfopropyl groups into molecules and to confer water solubility and anionic character."
Propargite,2312-35-8,https://pubchem.ncbi.nlm.nih.gov/compound/2312-35-8,
Propargite,2312-35-8,https://pubchem.ncbi.nlm.nih.gov/compound/2312-35-8,
Propazine,139-40-2,https://pubchem.ncbi.nlm.nih.gov/compound/139-40-2,
beta-Propiolactone,57-57-8,https://pubchem.ncbi.nlm.nih.gov/compound/57-57-8,"beta-Propiolactone is used for vaccines, tissue grafts, surgical instruments, and enzymes, as a sterilant of blood plasma, water, milk, and nutrient broth, and as a vapor-phase disinfectant in enclosed spaces. Its sporicidal action is used against vegetative bacteria, pathologic fungi, and viruses., beta-Propiolactone is also used as a chemical intermediate."
Propoxur,114-26-1,https://pubchem.ncbi.nlm.nih.gov/compound/114-26-1,"Propoxur is a nonfood carbamate insecticide, marketed under the registered trademark name Baygon. It is used to control cockroaches, flies, mosquitoes, and lawn and turf insects., Propoxur has been used in malaria control activities and in flea collars for pets."
Propylene glycol mono-t-butyl ether,,,
Propylene oxide,75-56-9,https://pubchem.ncbi.nlm.nih.gov/compound/75-56-9,"The major use of propylene oxide is in the production of polyethers (the primary component of polyurethane foams) and propylene glycol., Propylene oxide is also used in the fumigation of foodstuffs and plastic medical instruments and in the manufacture of dipropylene glycol and glycol ethers, as herbicides, as solvents, and in the preparation of lubricants, surfactants, and oil demulsifiers., Adhesives and sealant chemicals, Flame retardants, Fuels and fuel additives, Functional fluids (closed systems), Functional fluids (open systems), Surface active agents, Viscosity adjustors, Anti-Freeze and De-icing Products, Fuels and Related Products, Laundry and Dishwashing Products"
Propylthiouracil,51-52-5,https://pubchem.ncbi.nlm.nih.gov/compound/51-52-5,
Propylthiouracil,51-52-5,https://pubchem.ncbi.nlm.nih.gov/compound/51-52-5,
Pulegone,89-82-7,https://pubchem.ncbi.nlm.nih.gov/compound/89-82-7,
Pymetrozine,123312-89-0,https://pubchem.ncbi.nlm.nih.gov/compound/123312-89-0,
Pyridine,110-86-1,https://pubchem.ncbi.nlm.nih.gov/compound/110-86-1,"Benzidines/Aromatic amines, Solvents (which become part of product formulation or mixture)"
Pyrimethamine,58-14-0,https://pubchem.ncbi.nlm.nih.gov/compound/58-14-0,
Quazepam,36735-22-5,https://pubchem.ncbi.nlm.nih.gov/compound/36735-22-5,
Quinoline and its strong acid salts,,,
Quizalofop-ethyl,76578-14-8,https://pubchem.ncbi.nlm.nih.gov/compound/76578-14-8,
Radionuclides,,,
Reserpine,50-55-5,https://pubchem.ncbi.nlm.nih.gov/compound/50-55-5,"Fuels and fuel additives, Fuels and Related Products"
Residual (heavy) fuel oils,,,
Resmethrin,10453-86-8,https://pubchem.ncbi.nlm.nih.gov/compound/10453-86-8,
Resmethrin,10453-86-8,https://pubchem.ncbi.nlm.nih.gov/compound/10453-86-8,
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents. (NOTE: Retinol/retinyl esters are required and essential for maintenance of normal reproductive function. The recommended daily level during pregnancy is 8,000 IU.)",,,
Ribavirin,36791-04-5,https://pubchem.ncbi.nlm.nih.gov/compound/36791-04-5,Human drug
Ribavirin,36791-04-5,https://pubchem.ncbi.nlm.nih.gov/compound/36791-04-5,Human drug
Riddelliine,23246-96-0,https://pubchem.ncbi.nlm.nih.gov/compound/23246-96-0,
Rifampin,,,
Safrole,94-59-7,https://pubchem.ncbi.nlm.nih.gov/compound/94-59-7,
"Salted fish, Chinese-style",,,
Secobarbital sodium,,,
Sedaxane,874967-67-6,https://pubchem.ncbi.nlm.nih.gov/compound/874967-67-6,
Selenium sulfide,,,
Sermorelin acetate,,,
Shale-oils,,,
"Silica, crystalline (airborne particles of respirable size)",,,
Simazine,122-34-9,https://pubchem.ncbi.nlm.nih.gov/compound/122-34-9,
Sodium dimethyldithiocarbamate,,,
Sodium fluoroacetate,62-74-8,https://pubchem.ncbi.nlm.nih.gov/compound/62-74-8,
"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",,,
Spirodiclofen,148477-71-8,https://pubchem.ncbi.nlm.nih.gov/compound/148477-71-8,
Spironolactone,52-01-7,https://pubchem.ncbi.nlm.nih.gov/compound/52-01-7,Veterinary drug
Stanozolol,10418-03-8,https://pubchem.ncbi.nlm.nih.gov/compound/10418-03-8,
Sterigmatocystin,10048-13-2,https://pubchem.ncbi.nlm.nih.gov/compound/10048-13-2,
Streptomycin sulfate,3810-74-0,https://pubchem.ncbi.nlm.nih.gov/compound/3810-74-0,
Streptozocin (streptozotocin),,,
Streptozotocin (streptozocin),,,
Strong inorganic acid mists containing sulfuric acid,,,
Styrene,100-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/100-42-5,
Styrene oxide,96-09-3,https://pubchem.ncbi.nlm.nih.gov/compound/96-09-3,"Styrene oxide is used as a reactive plasticizer or diluent for epoxy resins; in the production of styrene glycol and its derivatives; as a raw material for the production of phenethyl alcohol used in perfumes; as a chemical intermediate for cosmetics, surface coatings, and agricultural and biological chemicals; and in the treatment of fibers and textiles."
Sulfallate,95-06-7,https://pubchem.ncbi.nlm.nih.gov/compound/95-06-7,
Sulfasalazine (Salicylazosulfapyridine),,,
Sulfasalazine (Salicylazosulfapyridine),,,
Sulfur dioxidee,,,
Sulindac,38194-50-2,https://pubchem.ncbi.nlm.nih.gov/compound/38194-50-2,
Talc containing asbestiform fibers,,,
Tamoxifen and its salts,,,
Tamoxifen citrate,,,
Temazepam,846-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/846-50-4,
